reading_id,title,case_studies_ge5,case_studies_ge4
2023_foundation_models_for_generalist_geospatial_artificial_85b2fd,Foundation Models for Generalist Geospatial Artificial Intelligence,5,27
jcss_2025_the_last_mile_in_remote_sensing,The Last Mile in Remote Sensing Poverty Prediction,4,21
climate_change_ai_toward_foundation_models_for_earth_monitoring,Toward Foundation Models for Earth Monitoring: Proposal for a Climate Change Benchmark,1,16
aaai_23_aisi_auto_cm_unsupervised_deep_learning_for,Auto-CM: Unsupervised Deep Learning for Satellite Imagery Composition and Cloud Masking Using Spatio-Temporal Dynamics,0,16
climate_change_ai_using_multiple_input_modalities_can_improve,Using multiple input modalities can improve data-efficiency for ML with satellite imagery,0,16
climate_change_ai_geoformer_a_vision_and_sequence_transformer,GeoFormer: A Vision and Sequence Transformer-based Approach for Greenhouse Gas Monitoring,0,14
climate_change_ai_towards_deepsentinel_an_extensible_corpus_of,Towards DeepSentinel: An extensible corpus of labelled Sentinel-1 and -2 imagery and a proposed general purpose sensor-fusion semantic embedding model,0,14
aies_2024_mitigating_urban_rural_disparities_in_contrastive,Mitigating Urban-Rural Disparities in Contrastive Representation Learning with Satellite Imagery,1,13
ijcai_2024_remote_sensing_for_water_quality_a,"Remote Sensing for Water Quality: A Multi-Task, Metadata-Driven Hypernetwork Approach",1,13
climate_change_ai_large_language_models_as_a_new,Large Language Models as a New Modality for Generalizable Earth Data Monitoring,0,13
climate_change_ai_machine_learning_for_precipitation_nowcasting_from,Machine Learning for Precipitation Nowcasting from Radar Images,0,13
climate_change_ai_exploring_randomly_wired_neural_networks_for,Exploring Randomly Wired Neural Networks for Climate Model Emulation,0,12
ghtc_2024_an_interactive_framework_understanding_community_desires,An Interactive Framework: Understanding Community Desires Through Participatory Video,0,12
cscw_2021_2_reflections_on_assets_based_design_a,Reflections on Assets-Based Design: A Journey Towards A Collective of Assets-Based Thinkers,2,11
compass_2022_understanding_power_differentials_and_cultural_differences,Understanding Power Differentials and Cultural Differences in Co-design with Marginalized Populations,0,11
jcss_2023_pixel_perfect_using_vision_transformers_to,Pixel Perfect: Using Vision Transformers to Improve Road Quality Predictions from Medium Resolution and Heterogeneous Satellite Imagery,0,11
climate_change_ai_from_spectra_to_biophysical_insights_end,From spectra to biophysical insights: end-to-end learning with a biased radiative transfer model,0,10
climate_change_ai_remote_control_debiasing_remote_sensing_predictions,Remote Control: Debiasing Remote Sensing Predictions for Causal Inference,0,10
cscw_2022_2_sensemystreet_sensor_commissioning_toolkit_for_communities,SenseMyStreet: Sensor Commissioning Toolkit for Communities,0,10
jcss_2025_resilient_hope_identity_extensibility_and_freedom,"Resilient Hope: Identity, Extensibility, and Freedom as Design and Policy Considerations in Social Computing",0,10
climate_change_ai_drought_forecasting_using_a_hybrid_neural,Drought forecasting using a hybrid neural architecture for integrating time series and static data,2,9
cscw_2021_2_open_data_settings_a_conceptual_framework,Open Data Settings: A Conceptual Framework Explored Through the Map Room Project,2,9
2023_diffusionsat_a_generative_foundational_model_for_71673b,DiffusionSat: A Generative Foundational Model for Satellite Imagery,1,9
compass_2021_opaque_obstacles_the_role_of_stigma,"Opaque Obstacles: The Role of Stigma, Rumor, and Superstition in Limiting Women's Access to Computing in Rural Bangladesh",1,9
2023_vits_for_sits_vision_transformers_for_2017c9,ViTs for SITS: Vision Transformers for Satellite Image Time Series,1,8
climate_change_ai_large_scale_masked_autoencoding_for_reducing,Large Scale Masked Autoencoding for Reducing Label Requirements on SAR Data,1,8
aaai_23_aisi_weather2vec_representation_learning_for_causal_inference,Weather2vec: Representation Learning for Causal Inference with Non-local Confounding in Air Pollution and Climate Studies,0,8
